[s],CH1[V]
-1.4556E-02,2.355E-02
-1.4554E-02,2.355E-02
-1.4552E-02,2.355E-02
-1.4550E-02,2.355E-02
-1.4548E-02,2.355E-02
-1.4546E-02,2.355E-02
-1.4544E-02,2.395E-02
-1.4542E-02,2.355E-02
-1.4540E-02,2.355E-02
-1.4538E-02,2.395E-02
-1.4536E-02,2.395E-02
-1.4534E-02,2.355E-02
-1.4532E-02,2.355E-02
-1.4530E-02,2.355E-02
-1.4528E-02,2.355E-02
-1.4526E-02,2.395E-02
-1.4524E-02,2.355E-02
-1.4522E-02,2.395E-02
-1.4520E-02,2.355E-02
-1.4518E-02,2.355E-02
-1.4516E-02,2.355E-02
-1.4514E-02,2.395E-02
-1.4512E-02,2.355E-02
-1.4510E-02,2.395E-02
-1.4508E-02,2.355E-02
-1.4506E-02,2.355E-02
-1.4504E-02,2.355E-02
-1.4502E-02,2.355E-02
-1.4500E-02,2.355E-02
-1.4498E-02,2.355E-02
-1.4496E-02,2.355E-02
-1.4494E-02,2.355E-02
-1.4492E-02,2.355E-02
-1.4490E-02,2.355E-02
-1.4488E-02,2.395E-02
-1.4486E-02,2.355E-02
-1.4484E-02,2.395E-02
-1.4482E-02,2.355E-02
-1.4480E-02,2.355E-02
-1.4478E-02,2.395E-02
-1.4476E-02,2.355E-02
-1.4474E-02,2.355E-02
-1.4472E-02,2.395E-02
-1.4470E-02,2.355E-02
-1.4468E-02,2.355E-02
-1.4466E-02,2.355E-02
-1.4464E-02,2.355E-02
-1.4462E-02,2.395E-02
-1.4460E-02,2.355E-02
-1.4458E-02,2.355E-02
-1.4456E-02,2.355E-02
-1.4454E-02,2.355E-02
-1.4452E-02,2.355E-02
-1.4450E-02,2.355E-02
-1.4448E-02,2.355E-02
-1.4446E-02,2.315E-02
-1.4444E-02,2.355E-02
-1.4442E-02,2.395E-02
-1.4440E-02,2.355E-02
-1.4438E-02,2.355E-02
-1.4436E-02,2.355E-02
-1.4434E-02,2.355E-02
-1.4432E-02,2.355E-02
-1.4430E-02,2.395E-02
-1.4428E-02,2.355E-02
-1.4426E-02,2.355E-02
-1.4424E-02,2.395E-02
-1.4422E-02,2.355E-02
-1.4420E-02,2.355E-02
-1.4418E-02,2.355E-02
-1.4416E-02,2.355E-02
-1.4414E-02,2.355E-02
-1.4412E-02,2.355E-02
-1.4410E-02,2.395E-02
-1.4408E-02,2.355E-02
-1.4406E-02,2.355E-02
-1.4404E-02,2.355E-02
-1.4402E-02,2.355E-02
-1.4400E-02,2.355E-02
-1.4398E-02,2.395E-02
-1.4396E-02,2.355E-02
-1.4394E-02,2.395E-02
-1.4392E-02,2.355E-02
-1.4390E-02,2.355E-02
-1.4388E-02,2.355E-02
-1.4386E-02,2.355E-02
-1.4384E-02,2.315E-02
-1.4382E-02,2.355E-02
-1.4380E-02,2.355E-02
-1.4378E-02,2.355E-02
-1.4376E-02,2.355E-02
-1.4374E-02,2.395E-02
-1.4372E-02,2.355E-02
-1.4370E-02,2.395E-02
-1.4368E-02,2.355E-02
-1.4366E-02,2.395E-02
-1.4364E-02,2.355E-02
-1.4362E-02,2.355E-02
-1.4360E-02,2.355E-02
-1.4358E-02,2.395E-02
-1.4356E-02,2.355E-02
-1.4354E-02,2.355E-02
-1.4352E-02,2.355E-02
-1.4350E-02,2.355E-02
-1.4348E-02,2.395E-02
-1.4346E-02,2.355E-02
